,manufacturer,transmission,fuel_type,cylinders,wheels,msrp,style,model,year,horsepower,doors,market_category,size,highwaympg,citympg,popularity
28,6,1,6,8,4,239340,7,13,3,562,2,3,1,17,13,2774
29,2,1,5,4,3,34900,11,26,5,190,4,9,3,37,27,3105
30,7,2,5,4,4,28650,5,77,3,158,2,10,1,28,21,586
31,6,1,6,12,4,315888,7,53,2,731,2,3,3,16,11,2774
32,10,2,7,4,3,20870,4,86,4,131,4,6,1,26,24,2009
33,7,4,7,4,3,21545,3,47,3,155,4,1,3,35,26,586
34,4,2,4,4,3,25690,11,5,4,184,4,5,3,36,23,1013
35,3,2,6,6,4,81300,11,24,4,320,4,9,2,29,21,3916
36,11,2,7,4,3,38100,12,123,4,240,4,9,3,29,25,870
37,10,4,6,6,4,45490,7,10,4,350,2,4,1,26,18,2009
38,3,2,6,8,1,102100,3,133,3,567,4,1,3,19,14,3916
39,3,2,6,8,1,117300,11,32,3,540,4,4,2,24,16,3916
40,10,2,7,6,4,24190,9,55,3,261,4,6,1,22,16,2009
41,10,2,5,4,3,25240,2,65,4,188,4,1,1,32,28,2009
42,10,2,7,6,4,23390,3,137,2,261,4,6,3,22,16,2009
43,8,2,6,8,4,69100,5,52,5,402,2,9,3,25,17,617
44,2,2,6,6,1,60800,3,116,5,354,4,1,3,24,17,3105
45,2,1,5,4,1,43500,7,118,5,220,2,9,1,30,23,3105
46,8,2,6,8,4,65250,11,40,4,469,4,4,3,25,18,617
47,2,4,6,10,1,170545,7,95,2,550,2,9,1,19,12,3105
48,3,2,6,8,4,90900,11,23,4,445,4,9,2,25,17,3916
49,2,2,5,4,3,36400,3,91,3,200,4,1,1,29,20,3105
50,8,2,6,8,1,97400,11,100,3,449,4,9,2,26,16,617
51,5,4,5,4,3,21695,12,19,3,160,4,6,1,33,25,819
52,2,1,5,4,1,41650,11,25,3,220,4,9,1,33,24,3105
53,3,2,6,8,4,69100,2,17,3,445,4,7,2,25,16,3916
54,10,2,7,4,3,28280,3,98,3,170,4,1,3,33,26,2009
55,2,4,6,8,1,128400,5,95,2,430,2,9,1,20,11,3105
56,3,2,6,8,1,72500,2,17,4,445,4,7,2,24,16,3916
57,8,2,6,6,4,57100,11,52,3,302,4,9,3,29,24,617
58,3,2,6,6,4,78300,11,23,3,315,4,9,2,31,20,3916
59,2,2,5,4,1,48400,11,29,4,252,4,9,3,32,22,3105
60,8,2,6,4,1,41050,11,40,3,241,4,9,3,31,24,617
61,7,2,7,4,1,26465,3,47,4,184,4,1,3,30,24,586
62,11,2,5,4,1,51350,3,136,4,250,4,1,2,25,22,870
63,3,2,6,6,4,76100,7,22,3,315,2,9,3,32,21,3916
64,8,2,6,8,1,89950,3,57,3,429,4,1,2,18,13,617
65,2,1,6,8,1,79900,11,107,5,450,4,4,2,27,17,3105
66,10,2,7,4,3,15580,11,125,4,109,4,6,1,40,31,2009
67,9,4,7,3,3,14795,2,82,5,78,4,7,1,41,33,436
68,2,1,6,6,1,60350,7,103,4,333,2,4,3,28,18,3105
69,7,2,7,4,3,25495,2,6,4,184,4,7,1,37,27,586
70,8,2,1,4,1,54300,11,52,3,195,4,2,3,38,27,617
71,10,2,7,6,3,33750,10,94,2,260,4,6,1,25,19,2009
72,8,2,6,4,4,41125,11,40,4,241,4,9,3,34,25,617
73,6,1,6,12,1,295000,7,54,3,651,2,3,2,16,11,2774
74,7,4,7,4,3,23845,11,6,3,184,4,10,1,37,25,586
75,8,2,6,6,1,39480,3,62,2,302,4,1,3,24,19,617
76,3,2,6,6,1,57800,3,130,5,300,4,1,3,24,18,3916
77,10,2,7,6,2,26900,3,137,1,261,4,6,3,20,15,2009
78,3,2,6,6,1,88100,5,22,5,315,2,9,3,28,19,3916
79,7,2,7,4,1,26515,3,47,4,184,4,1,3,30,24,586
80,4,2,4,6,3,37945,10,122,3,283,4,5,3,25,17,1013
81,3,2,5,6,4,47900,11,7,5,320,4,9,3,32,21,3916
82,8,2,1,4,4,51800,11,52,3,195,4,2,3,42,28,617
83,8,2,6,4,3,32850,3,58,5,208,4,1,1,33,24,617
84,8,2,6,8,1,119900,7,100,3,449,2,9,2,24,16,617
85,7,2,7,4,3,27820,3,47,2,184,4,1,3,32,25,586
86,4,2,4,6,1,29370,11,5,3,295,4,5,3,29,18,1013
87,9,2,7,4,1,24995,3,87,5,166,4,1,3,29,24,436
88,10,4,6,6,4,33570,7,10,5,332,2,8,1,26,18,2009
89,4,2,4,4,3,21995,11,5,5,184,4,5,3,36,23,1013
90,3,2,6,6,4,53900,3,130,3,300,4,1,3,27,19,3916
91,10,2,7,8,2,40700,8,121,5,390,4,6,2,21,15,2009
92,2,2,1,6,1,62500,11,29,3,240,4,2,3,38,24,3105
93,7,4,7,4,3,21495,11,21,4,184,4,6,3,37,25,586
94,8,2,6,6,1,59000,12,52,3,302,4,9,3,27,20,617
95,2,2,6,4,3,35900,11,26,4,220,4,9,3,31,22,3105
96,8,2,1,6,1,63600,3,57,3,240,4,1,2,26,19,617
97,10,2,5,4,3,22550,2,65,5,188,4,1,1,32,28,2009
98,2,2,1,6,1,63700,11,29,4,240,4,2,3,38,25,3105
99,2,2,5,4,3,38600,3,91,4,200,4,1,1,29,20,3105
100,3,2,1,6,1,82500,11,24,3,255,4,2,2,31,23,3916
101,7,2,7,4,3,19960,3,46,5,146,4,1,1,34,29,586
102,4,2,4,6,3,31875,10,122,4,283,4,5,3,25,17,1013
103,9,4,7,3,3,12995,2,82,2,74,4,7,1,42,34,436
104,10,2,5,6,3,32610,11,78,5,300,4,8,3,30,21,2009
105,7,2,7,4,1,44015,3,48,4,227,4,1,2,27,21,586
106,7,2,7,4,3,25215,3,47,4,184,4,1,3,33,26,586
107,10,2,7,8,4,43600,3,38,3,317,4,6,2,19,13,2009
108,9,4,6,4,1,34695,11,67,1,291,4,4,1,23,17,436
109,2,1,6,8,1,82900,11,107,5,450,4,4,2,27,17,3105
110,2,4,6,6,1,49200,11,102,4,333,4,4,3,26,17,3105
111,8,2,6,8,4,72600,5,113,4,416,2,4,1,28,19,617
112,3,2,6,8,1,76100,3,132,5,445,4,1,3,21,15,3916
113,11,2,7,6,1,42050,12,135,3,300,4,1,3,24,17,870
114,8,2,6,6,4,61350,5,52,3,329,2,9,3,29,20,617
115,7,2,7,4,3,26095,11,6,3,184,4,10,1,39,28,586
116,2,1,5,4,3,40100,5,25,4,170,2,9,1,35,24,3105
117,10,2,7,4,3,17980,2,126,4,109,4,7,1,40,31,2009
118,10,2,7,4,3,24780,3,98,4,170,4,1,3,33,26,2009
119,8,2,6,4,1,40400,11,40,3,241,4,9,3,31,24,617
120,8,2,6,4,4,50900,5,40,5,241,2,9,3,31,23,617
121,1,1,6,4,4,68400,7,14,3,237,2,9,1,34,24,113
122,2,1,5,4,3,38350,11,25,3,170,4,9,1,33,23,3105
123,8,2,6,4,4,39400,7,40,3,201,2,9,1,31,22,617
124,10,2,6,6,4,46570,5,10,5,332,2,8,1,25,18,2009
125,7,2,5,4,4,29330,5,77,4,155,2,10,1,36,27,586
126,10,2,7,6,3,43230,10,94,4,260,4,6,1,27,20,2009
127,7,2,7,4,1,29870,3,47,4,184,4,1,3,30,24,586
128,11,2,7,4,3,41150,3,134,3,302,4,1,3,30,22,870
129,9,2,7,4,3,23595,3,88,3,168,4,1,1,28,23,436
130,10,2,7,4,3,13990,11,125,3,109,4,6,1,40,31,2009
131,3,2,6,6,4,45800,11,12,3,300,4,9,3,32,21,3916
132,4,2,7,6,4,35255,11,9,4,292,4,6,2,31,19,1013
133,4,2,4,6,1,29905,11,5,5,295,4,5,3,28,18,1013
134,10,2,7,4,1,21500,3,99,3,170,4,1,3,27,22,2009
135,10,2,7,6,2,26640,9,55,4,261,4,6,1,21,15,2009
136,9,2,7,4,3,23495,11,66,4,168,4,6,1,31,24,436
137,7,4,7,4,3,21190,11,21,3,184,4,6,3,37,25,586
138,10,2,7,6,4,23940,9,55,4,261,4,6,1,22,16,2009
139,9,2,7,4,2,22495,3,88,5,148,4,1,1,29,23,436
140,2,1,5,4,3,31200,11,25,5,186,4,9,1,35,26,3105
141,3,2,6,6,1,47250,2,8,3,300,4,7,3,30,20,3916
142,3,2,5,6,1,51050,5,4,5,335,2,4,1,32,21,3916
143,2,2,6,6,1,56300,11,29,3,310,4,9,3,27,18,3105
144,8,2,6,6,1,65200,3,57,4,362,4,1,2,21,17,617
145,3,4,6,6,4,64000,11,71,5,425,4,4,3,26,17,3916
146,3,2,1,4,4,40250,11,7,5,180,4,2,3,42,32,3916
147,8,1,6,4,1,49500,11,44,4,375,4,4,3,31,23,617
148,11,2,7,5,1,38300,11,105,4,250,4,9,3,29,20,870
149,2,2,6,6,1,60900,3,93,2,333,4,1,2,22,16,3105
150,11,2,7,4,1,46350,3,134,5,302,4,1,3,29,20,870
151,10,2,7,4,3,17900,12,51,2,122,4,6,1,31,27,2009
152,10,1,5,6,1,101770,7,64,3,545,2,8,3,23,16,2009
153,2,2,6,6,1,71350,11,30,5,333,4,9,2,29,21,3105
154,2,4,6,5,1,57200,7,119,1,360,2,4,1,25,18,3105
155,10,2,7,4,3,18660,2,126,3,109,4,7,1,40,31,2009
156,10,4,7,4,4,18290,9,55,4,152,4,6,1,23,19,2009
157,3,2,5,4,4,50300,5,11,5,248,2,9,3,34,23,3916
158,7,4,7,4,3,23245,2,6,3,155,4,7,1,40,29,586
159,2,4,6,10,1,151200,7,95,2,525,2,9,1,19,12,3105
160,2,1,6,8,1,82900,11,107,4,450,4,4,2,27,17,3105
161,8,2,6,4,4,42650,7,40,5,241,2,9,3,30,23,617
162,3,2,6,4,4,48750,5,11,3,240,2,9,3,34,23,3916
163,10,2,7,4,3,16330,2,126,3,109,4,7,1,40,31,2009
164,10,4,6,6,4,45270,5,10,4,332,2,8,1,24,17,2009
165,10,2,7,4,3,19960,11,117,3,130,4,6,3,39,30,2009
166,11,2,7,6,1,45400,12,123,3,325,4,9,3,28,19,870
167,7,4,7,4,3,16210,2,3,1,100,4,7,1,35,29,586
168,8,1,6,8,4,199500,7,114,1,583,2,3,1,19,13,617
169,3,1,6,6,4,65800,5,138,3,335,2,9,1,24,17,3916
170,7,2,7,4,3,22795,3,47,2,155,4,1,3,32,26,586
171,10,4,6,6,4,41990,7,10,4,350,2,4,1,26,18,2009
172,3,2,6,6,1,81300,11,23,3,315,4,9,2,29,20,3916
173,4,2,7,6,4,35070,11,9,3,300,4,10,2,31,19,1013
174,11,2,7,5,1,40400,11,105,4,250,4,9,3,29,20,870
175,2,4,6,6,1,53100,7,103,5,333,2,4,3,26,17,3105
176,7,4,7,4,3,22545,11,6,4,155,4,6,1,41,29,586
177,8,2,6,6,1,65650,3,60,5,329,4,1,3,23,18,617
178,8,2,6,12,4,214500,5,111,3,621,2,4,1,21,14,617
179,10,2,7,4,3,17530,2,126,3,109,4,7,1,40,31,2009
180,3,2,6,6,4,59600,3,132,3,300,4,1,3,27,19,3916
181,10,2,5,4,1,26940,2,65,4,188,4,1,1,31,26,2009
182,11,2,7,6,1,40350,3,134,3,240,4,1,3,25,18,870
183,10,2,7,6,2,31370,3,137,2,261,4,6,3,20,15,2009
184,10,2,7,6,3,30280,10,94,3,260,4,6,1,27,20,2009
185,8,2,6,4,4,39275,11,40,4,241,4,9,3,34,25,617
186,2,2,6,6,1,53700,3,93,2,280,4,1,2,22,16,3105
187,3,2,6,6,1,56200,3,130,3,300,4,1,3,27,18,3916
188,11,2,7,4,3,40250,3,134,3,240,4,1,3,31,24,870
189,9,4,7,4,3,19595,3,88,3,148,4,1,1,30,24,436
190,10,2,7,4,3,17280,11,125,5,109,4,6,1,39,31,2009
191,8,2,6,6,1,49770,3,69,1,302,4,1,3,23,18,617
192,7,2,5,4,4,30550,5,77,2,158,2,10,1,28,21,586
193,10,2,7,4,3,19990,11,117,5,124,4,6,3,37,29,2009
194,3,2,1,4,1,44450,12,7,5,180,4,2,3,40,30,3916
195,4,2,7,6,3,37895,10,89,5,287,4,6,3,28,18,1013
196,8,2,1,6,1,63000,3,57,2,240,4,1,2,26,19,617
197,7,4,7,4,3,18445,11,6,3,155,4,6,1,41,29,586
198,10,2,7,8,4,29640,9,121,3,317,4,5,2,18,13,2009
199,9,2,7,3,3,14945,2,82,3,74,4,7,1,44,37,436
200,7,2,7,4,3,21240,10,15,3,157,4,6,1,28,21,586
201,8,2,1,4,1,38980,3,62,2,200,4,1,3,33,24,617
202,10,2,7,4,3,18160,11,117,4,130,4,6,3,40,30,2009
203,2,1,5,4,1,42900,7,118,4,220,2,9,1,30,23,3105
204,3,2,5,6,1,59300,5,11,5,320,2,9,3,30,20,3916
205,10,2,7,8,2,37580,9,121,2,317,4,5,2,17,12,2009
206,8,2,6,4,1,41275,11,40,4,241,4,9,3,31,24,617
207,11,2,5,4,3,49350,3,136,4,250,4,1,2,26,22,870
208,10,2,7,4,1,30080,3,98,4,170,4,1,3,32,25,2009
209,10,2,7,6,3,32800,3,84,4,260,4,1,3,28,21,2009
210,2,1,5,4,1,42350,11,26,5,252,4,9,3,31,24,3105
211,10,2,7,6,4,25840,8,55,4,261,4,6,1,22,16,2009
212,10,2,7,4,3,22300,11,37,3,182,4,6,3,38,27,2009
213,9,2,7,4,2,27395,3,88,4,168,4,1,1,27,22,436
214,10,2,7,6,2,28750,8,55,5,261,4,6,1,21,15,2009
215,3,2,6,4,1,52250,11,16,3,241,4,9,2,33,22,3916
216,10,2,7,6,2,31640,3,137,3,261,4,6,3,20,15,2009
217,4,2,4,6,1,31785,11,5,4,295,4,5,3,29,18,1013
218,8,1,6,8,4,201500,7,114,2,583,2,3,1,19,13,617
219,3,2,6,6,1,61900,3,132,3,300,4,1,3,27,18,3916
220,7,2,7,4,3,22245,2,6,5,155,4,7,1,37,28,586
221,10,1,6,6,1,111510,7,64,4,545,2,8,3,22,16,2009
222,7,4,5,4,4,28665,5,77,2,167,2,10,1,28,21,586
223,4,2,7,6,1,41055,11,9,4,292,4,6,2,27,18,1013
224,2,2,5,4,3,31800,3,91,5,200,4,1,1,28,20,3105
225,9,1,6,4,1,29495,11,66,3,237,4,10,1,25,18,436
226,8,2,6,8,1,96100,3,69,1,518,4,1,3,17,13,617
227,8,2,6,8,1,108840,3,60,5,577,4,1,3,17,13,617
228,3,2,6,6,4,84300,11,36,1,350,4,9,2,30,22,3916
229,8,2,1,4,4,52650,11,52,4,195,4,2,3,42,28,617
230,7,2,7,4,3,21495,11,6,5,155,4,6,3,37,28,586
231,3,2,6,4,4,37500,11,7,3,240,4,9,3,35,23,3916
232,3,2,6,6,1,39100,3,127,3,300,4,1,3,27,18,3916
233,9,2,7,4,3,18295,11,66,3,148,4,6,1,34,26,436
234,5,4,5,4,3,21395,5,18,4,101,2,6,1,40,31,819
235,3,2,6,4,1,52000,5,11,4,240,2,9,3,33,21,3916
236,10,2,7,4,3,25460,11,37,5,179,4,6,3,39,27,2009
237,9,2,7,4,3,21945,2,68,2,168,4,7,1,29,22,436
238,9,2,7,4,3,25995,3,88,4,168,4,1,1,28,23,436
239,8,4,6,4,4,43525,5,113,2,201,2,9,1,32,22,617
240,10,4,6,6,4,48100,5,10,5,332,2,8,1,24,17,2009
241,4,2,7,6,4,38555,11,9,4,292,4,6,2,31,19,1013
242,2,2,6,6,1,65900,11,30,3,310,4,9,2,28,18,3105
243,10,2,7,4,3,21330,4,86,5,131,4,6,1,26,24,2009
244,11,2,7,4,3,35750,12,123,3,240,4,9,3,37,25,870
245,8,2,6,4,1,41850,11,40,5,241,4,9,3,31,24,617
246,10,2,7,6,3,42070,3,90,5,284,4,1,2,27,20,2009
247,2,1,6,6,1,50200,11,102,4,333,4,4,3,28,18,3105
248,11,2,7,4,3,38850,3,134,3,240,4,1,3,31,24,870
249,8,2,6,12,4,160300,7,43,1,510,2,9,2,18,12,617
250,2,2,1,6,1,47500,3,92,3,240,4,1,3,31,24,3105
251,10,2,7,6,3,39180,3,84,5,260,4,1,3,28,21,2009
252,2,2,6,6,1,53300,3,116,5,354,4,1,3,24,17,3105
253,3,2,6,8,1,99500,5,22,5,445,2,9,3,24,15,3916
254,9,2,7,4,3,24195,3,88,5,168,4,1,1,28,23,436
255,7,2,7,4,3,25395,2,6,3,184,4,7,1,37,27,586
256,11,2,7,4,3,41350,3,134,4,302,4,1,3,29,22,870
257,3,2,6,4,4,50000,5,11,4,240,2,9,3,34,23,3916
258,8,2,6,4,4,41675,11,40,5,241,4,9,3,34,24,617
259,2,2,5,4,3,33700,3,91,4,200,4,1,1,29,20,3105
260,11,2,5,4,1,57200,3,136,5,316,4,1,2,25,20,870
261,10,2,7,8,4,34140,8,121,3,317,4,5,2,18,13,2009
262,6,1,6,12,4,319995,7,53,3,731,2,3,3,16,11,2774
263,5,4,5,4,3,17495,1,18,3,101,2,7,1,40,31,819
264,11,2,7,4,3,33300,11,105,3,240,4,9,3,37,25,870
265,10,2,7,4,3,24470,11,37,5,179,4,6,3,37,26,2009
266,10,2,7,6,3,29560,3,84,3,260,4,1,3,28,21,2009
267,8,2,6,6,1,55600,11,52,4,302,4,9,3,28,20,617
268,10,4,7,4,4,21970,9,55,3,152,4,6,1,23,19,2009
269,11,2,7,6,1,45550,3,134,3,300,4,1,3,24,17,870
270,10,2,7,4,3,21500,11,117,5,124,4,6,3,37,29,2009
271,8,2,6,8,1,106550,11,45,3,577,4,4,3,22,16,617
272,10,2,7,6,2,27720,3,137,3,261,4,6,3,20,15,2009
273,8,2,5,4,4,28950,4,81,4,208,3,9,2,24,21,617
274,2,1,1,4,3,35900,11,25,4,150,4,2,1,43,31,3105
275,7,2,7,4,1,33320,3,48,4,227,4,1,2,27,21,586
276,8,2,6,8,4,131200,7,34,5,503,2,3,1,22,16,617
277,5,2,7,4,3,27335,3,20,4,180,4,1,1,31,22,819
278,8,2,6,8,4,95650,11,100,4,449,4,9,2,26,17,617
279,8,2,6,4,1,44650,7,40,5,241,2,9,3,31,24,617
280,10,2,7,4,3,18710,2,126,5,109,4,7,1,39,31,2009
281,9,2,7,3,3,15195,11,83,5,78,4,6,1,42,35,436
282,2,1,5,4,3,49900,11,29,4,252,4,9,3,35,24,3105
283,2,2,6,6,1,58800,3,93,5,333,4,1,2,25,19,3105
284,2,1,6,10,1,189900,7,95,5,610,2,9,1,22,14,3105
285,8,2,6,8,4,73200,11,45,3,402,4,9,3,26,17,617
286,3,1,6,6,4,133205,7,73,4,493,2,4,3,23,16,3916
287,11,2,7,4,3,38100,12,123,5,240,4,9,3,36,25,870
288,2,1,6,10,1,199900,7,95,3,570,2,9,1,22,13,3105
289,10,1,6,6,1,109990,7,64,5,565,2,8,3,22,16,2009
290,3,2,6,4,1,34850,7,4,4,240,2,9,1,35,23,3916
291,7,2,7,4,3,21095,11,6,4,155,4,6,1,41,30,586
292,5,2,7,4,3,23335,3,20,4,180,4,1,1,31,22,819
293,10,4,7,4,3,14180,2,126,3,109,4,7,1,36,27,2009
294,8,2,6,6,4,86950,5,111,5,362,2,9,1,28,20,617
295,2,1,5,4,3,39300,5,25,4,170,2,9,1,35,24,3105
296,10,2,7,6,2,37900,3,90,3,260,4,1,2,26,19,2009
297,10,4,6,4,3,28020,2,65,4,211,4,1,1,31,25,2009
298,8,2,6,8,1,109300,3,61,4,577,4,1,3,18,14,617
299,6,1,6,8,4,263553,5,13,3,562,2,3,1,17,13,2774
300,10,2,7,4,3,13490,11,125,3,109,4,6,1,35,26,2009
301,8,2,6,8,4,65200,11,40,5,469,4,4,3,24,18,617
302,10,4,7,4,4,17990,9,55,3,152,4,6,1,23,19,2009
303,3,2,6,4,1,42650,12,7,4,240,4,9,3,34,22,3916
304,7,2,7,4,3,23195,3,47,4,184,4,1,3,33,26,586
305,8,2,6,8,4,74850,11,45,5,402,4,9,3,26,18,617
306,8,2,6,6,1,39090,3,62,1,302,4,1,3,24,19,617
307,11,2,7,4,3,36600,3,134,4,240,4,1,3,31,23,870
308,11,2,5,4,1,53800,3,136,4,316,4,1,2,25,20,870
309,3,2,6,6,1,49650,2,8,5,320,4,7,3,30,20,3916
310,11,2,5,4,3,50450,11,110,5,250,4,9,2,34,23,870
311,2,2,5,4,1,53800,11,29,5,252,4,9,3,31,22,3105
312,3,2,6,4,4,39250,3,128,5,240,4,1,3,28,21,3916
313,7,4,5,4,4,29450,5,77,2,167,2,10,1,28,21,586
314,11,2,7,6,1,41750,3,134,3,240,4,1,3,25,18,870
315,5,4,5,4,3,19700,1,18,4,135,2,7,1,34,28,819
316,10,2,7,8,2,37320,8,121,2,317,4,5,2,17,12,2009
317,3,2,6,6,1,63000,2,17,3,300,4,7,2,26,18,3916
318,3,2,6,4,1,40350,11,7,4,240,4,9,3,34,22,3916
319,5,4,5,4,3,17700,1,18,3,101,2,7,1,40,31,819
320,11,2,7,4,3,41900,11,105,4,240,4,9,3,37,25,870
321,7,2,5,4,4,27505,5,77,3,158,2,10,1,28,21,586
322,10,2,7,6,1,31160,3,84,3,260,4,1,3,28,21,2009
323,3,2,6,4,4,40300,11,12,3,240,4,9,3,34,23,3916
324,11,2,7,4,3,34150,11,105,4,240,4,9,3,38,26,870
325,8,2,6,12,4,213200,7,43,1,621,2,4,2,18,12,617
326,8,2,1,4,1,52500,3,60,4,201,4,1,3,29,22,617
327,10,2,7,4,1,24390,3,98,3,170,4,1,3,32,25,2009
328,7,2,5,4,4,32655,5,77,3,158,2,10,1,28,21,586
329,10,2,7,6,2,31520,3,90,4,260,4,1,2,26,19,2009
330,10,2,7,4,3,22170,11,117,4,130,4,6,3,38,29,2009
331,10,2,7,6,2,29170,8,55,5,261,4,6,1,21,15,2009
332,4,2,4,6,1,29905,11,5,4,295,4,5,3,29,18,1013
333,10,2,7,6,1,38730,3,84,5,260,4,1,3,28,21,2009
334,11,2,7,4,3,40050,3,134,3,302,4,1,3,30,22,870
335,3,2,6,4,1,33000,3,127,3,240,4,1,3,32,22,3916
336,8,2,6,6,1,68700,3,63,5,362,4,1,2,22,17,617
337,3,2,6,6,1,58950,5,11,4,300,2,9,3,29,20,3916
338,8,2,6,8,1,108900,11,45,5,577,4,4,3,22,16,617
339,10,2,7,6,3,32690,11,37,5,270,4,10,3,32,22,2009
340,3,2,6,8,4,66300,11,16,4,443,4,9,2,25,17,3916
341,10,2,7,4,3,17140,11,125,4,109,4,6,1,40,31,2009
342,2,2,5,4,1,38500,3,91,3,200,4,1,1,28,20,3105
343,3,2,5,4,1,40950,5,4,5,248,2,9,1,33,23,3916
344,3,2,6,4,1,43950,2,8,5,248,4,7,3,33,23,3916
345,7,2,7,4,3,21140,10,15,2,157,4,6,1,28,22,586
346,8,2,6,8,4,63900,11,40,3,469,4,4,3,25,18,617
347,11,2,7,6,1,44200,11,105,4,325,4,9,3,27,18,870
348,3,2,6,8,4,89600,11,23,3,445,4,9,2,25,17,3916
349,8,2,6,4,1,34850,3,58,5,208,4,1,1,31,23,617
350,10,4,7,4,3,11990,11,125,4,109,4,6,1,36,27,2009
351,7,2,7,4,3,19995,2,6,3,155,4,7,1,40,30,586
352,3,2,6,8,4,96500,5,22,5,445,2,9,3,24,17,3916
353,3,4,6,6,4,31500,7,1,1,230,2,9,1,28,19,3916
354,3,2,6,4,1,45550,3,129,5,240,4,1,3,28,20,3916
355,8,2,6,12,4,170750,11,100,5,523,4,9,2,22,13,617
356,11,2,7,5,1,42050,12,135,4,250,4,1,3,26,19,870
357,6,1,6,8,4,288000,7,13,2,597,2,3,1,17,13,2774
358,6,1,6,8,4,233509,7,13,2,562,2,3,1,17,13,2774
359,11,2,7,4,3,36150,12,123,4,240,4,9,3,29,25,870
360,11,2,7,4,3,40500,11,109,3,240,4,9,3,38,26,870
361,3,2,6,6,1,49950,11,12,4,300,4,9,3,30,20,3916
362,2,2,1,6,1,72150,11,30,3,240,4,2,2,38,24,3105
363,2,1,5,4,1,41150,5,25,3,220,2,9,1,32,23,3105
364,11,2,7,6,1,41550,3,134,3,300,4,1,3,24,17,870
365,10,2,7,6,3,41610,3,90,4,260,4,1,2,27,20,2009
366,7,4,5,4,4,27550,5,77,2,167,2,10,1,28,21,586
367,3,2,6,4,4,37500,11,7,3,240,4,9,3,35,23,3916
368,10,4,7,4,3,14230,2,126,4,109,4,7,1,36,27,2009
369,2,2,5,4,1,46900,11,29,3,220,4,9,3,29,20,3105
370,2,1,5,4,3,46200,11,29,4,252,4,9,3,35,24,3105
371,8,1,6,8,4,221580,7,115,3,583,2,3,1,19,13,617
372,10,2,7,4,3,40130,3,84,4,250,4,1,3,31,28,2009
373,3,2,6,4,4,41850,7,11,4,240,2,9,3,35,23,3916
374,8,2,6,8,4,62950,7,40,3,451,2,4,1,19,13,617
375,2,2,6,6,1,61900,3,93,3,333,4,1,2,22,16,3105
376,10,2,7,4,3,18550,11,117,4,130,4,6,3,38,29,2009
377,7,4,5,4,4,23720,5,77,2,167,2,10,1,28,22,586
378,7,2,7,4,3,17050,2,3,2,100,4,7,1,34,28,586
379,3,4,6,6,4,74700,5,72,5,425,2,4,3,26,17,3916
380,9,2,7,4,3,23995,3,87,4,166,4,1,3,31,25,436
381,3,4,6,6,4,74200,5,72,4,425,2,4,3,26,17,3916
382,10,2,7,8,2,36840,8,121,2,317,4,5,2,17,12,2009
383,3,2,6,6,4,43750,11,7,3,300,4,9,3,32,21,3916
384,2,4,6,4,1,36400,11,26,3,220,4,9,3,32,22,3105
385,7,2,7,4,3,30195,11,21,4,184,4,6,3,38,26,586
386,2,1,6,6,1,49500,11,102,2,333,4,4,3,28,18,3105
387,3,2,6,8,1,72500,2,17,5,445,4,7,2,24,15,3916
388,5,4,5,4,3,19995,1,18,5,160,2,7,1,33,28,819
389,8,2,6,12,4,230900,7,100,3,621,2,4,2,20,13,617
