,manufacturer,transmission,fuel_type,cylinders,wheels,msrp,style,model,year,horsepower,doors,market_category,size,highwaympg,citympg,popularity
195,4,2,7,6,3,37895,10,89,5,287,4,6,3,28,18,1013
25,2,2,6,8,1,114900,11,108,4,605,4,4,2,25,15,3105
56,3,2,6,8,1,72500,2,17,4,445,4,7,2,24,16,3916
1013,10,2,7,8,2,45020,8,121,5,390,4,6,2,20,15,2009
1133,10,2,7,6,4,26630,8,55,5,261,4,6,1,23,16,2009
1145,3,2,6,8,1,102200,3,133,5,567,4,1,3,19,14,3916
814,2,1,6,10,1,160300,7,95,2,525,2,9,1,22,13,3105
1355,3,4,6,6,4,51700,7,70,4,365,2,4,1,26,18,3916
806,10,2,7,6,3,32800,3,84,5,260,4,1,3,28,21,2009
1097,3,2,6,4,4,38500,3,128,3,240,4,1,3,28,21,3916
963,8,2,6,6,1,39900,3,62,3,302,4,1,3,25,18,617
384,2,4,6,4,1,36400,11,26,3,220,4,9,3,32,22,3105
898,4,2,4,4,3,24490,11,5,5,184,4,5,3,36,23,1013
865,2,2,6,4,1,47900,5,28,4,220,2,9,3,29,21,3105
1594,10,2,7,6,3,42870,10,94,2,260,4,6,1,25,19,2009
975,3,2,6,6,4,60700,2,17,3,300,4,7,2,28,19,3916
1579,10,4,7,4,3,16990,11,117,5,130,4,6,3,35,27,2009
952,3,2,6,8,1,97600,11,24,5,445,4,9,2,25,16,3916
1688,3,2,6,8,1,97400,11,24,4,445,4,9,2,25,16,3916
868,8,2,6,8,1,103200,12,52,3,577,4,4,3,21,15,617
611,3,2,6,6,4,55850,11,16,4,302,4,9,2,31,20,3916
1180,7,2,5,4,4,29265,5,77,3,158,2,10,1,28,21,586
1528,3,2,6,6,1,49700,3,129,4,300,4,1,3,27,19,3916
426,4,2,7,6,3,42495,10,89,5,287,4,10,3,28,18,1013
1561,5,4,5,4,3,23395,12,19,4,160,4,6,1,33,25,819
98,2,2,1,6,1,63700,11,29,4,240,4,2,3,38,25,3105
1140,2,1,5,4,1,48450,5,25,4,220,2,9,1,32,23,3105
909,8,2,6,6,1,59000,12,52,3,302,4,9,3,27,20,617
163,10,2,7,4,3,16330,2,126,3,109,4,7,1,40,31,2009
11,10,2,7,6,4,32510,8,55,5,261,4,6,1,23,16,2009
2,5,4,5,4,3,19345,12,19,3,160,4,6,1,33,25,819
386,2,1,6,6,1,49500,11,102,2,333,4,4,3,28,18,3105
1263,11,2,7,5,1,37650,12,123,4,250,4,9,3,29,20,870
1675,4,2,7,6,4,42690,11,9,4,292,4,10,2,31,19,1013
1194,2,2,3,4,1,43150,3,92,5,220,4,1,3,27,20,3105
1543,8,2,6,6,1,55600,11,52,4,302,4,9,3,28,20,617
503,8,2,6,8,1,144700,11,100,5,577,4,4,2,23,15,617
322,10,2,7,6,1,31160,3,84,3,260,4,1,3,28,21,2009
1306,9,2,7,4,3,21295,3,88,3,168,4,1,1,28,23,436
988,3,2,6,6,1,57800,3,129,4,360,4,1,3,25,18,3916
1420,7,2,7,6,3,29985,3,48,2,273,4,1,2,24,17,586
75,8,2,6,6,1,39480,3,62,2,302,4,1,3,24,19,617
1005,2,2,5,4,1,34600,3,91,3,200,4,1,1,28,20,3105
404,10,2,7,4,3,17380,11,117,3,130,4,6,3,39,30,2009
1803,2,1,5,4,3,34450,11,25,5,186,4,9,1,35,26,3105
1120,2,1,5,4,3,47600,11,29,5,252,4,9,3,34,24,3105
1636,8,4,6,4,4,43950,5,113,3,201,2,9,1,32,22,617
1109,10,2,7,4,4,22160,9,55,5,152,4,6,1,22,17,2009
188,11,2,7,4,3,40250,3,134,3,240,4,1,3,31,24,870
1498,3,2,6,8,1,70100,3,130,3,445,4,1,3,22,15,3916
1414,10,4,5,4,3,24830,2,65,5,188,4,1,1,33,27,2009
1376,4,2,7,6,1,37570,11,9,3,300,4,6,2,27,18,1013
1002,3,2,6,8,4,91200,11,23,5,445,4,9,2,24,17,3916
1702,10,2,7,8,2,38170,9,121,3,317,4,5,2,17,12,2009
1173,10,2,6,6,4,41820,5,10,4,332,2,8,1,25,18,2009
3,2,2,6,4,1,50200,5,28,4,220,2,9,3,29,21,3105
269,11,2,7,6,1,45550,3,134,3,300,4,1,3,24,17,870
318,3,2,6,4,1,40350,11,7,4,240,4,9,3,34,22,3916
872,11,2,5,4,1,53250,3,136,4,250,4,1,2,25,22,870
725,3,2,6,6,1,56900,5,11,3,300,2,9,3,29,20,3916
1704,3,2,6,6,4,60600,3,132,4,300,4,1,3,25,18,3916
455,8,1,6,4,3,31500,11,44,3,208,4,9,3,38,26,617
393,3,2,1,6,4,57100,11,16,3,255,4,2,2,38,26,3916
1623,10,2,7,6,4,22940,3,137,1,261,4,6,3,22,16,2009
769,2,2,5,4,1,44800,12,139,4,220,4,9,3,28,21,3105
722,4,2,7,6,1,34195,11,9,3,292,4,6,2,27,18,1013
199,9,2,7,3,3,14945,2,82,3,74,4,7,1,44,37,436
76,3,2,6,6,1,57800,3,130,5,300,4,1,3,24,18,3916
357,6,1,6,8,4,288000,7,13,2,597,2,3,1,17,13,2774
1303,11,2,7,6,1,61300,12,123,4,345,4,4,3,27,18,870
1156,2,1,1,4,3,32600,11,25,3,150,4,2,1,43,31,3105
1325,7,4,7,4,3,17845,11,6,4,155,4,6,1,41,29,586
187,3,2,6,6,1,56200,3,130,3,300,4,1,3,27,18,3916
1081,3,4,6,6,4,63500,11,71,4,425,4,4,3,26,17,3916
1030,2,1,6,8,1,69600,7,96,2,450,2,4,3,23,16,3105
513,2,1,6,6,1,54100,7,103,5,333,2,4,3,28,18,3105
1348,10,2,6,6,4,46790,7,10,4,350,2,4,1,26,19,2009
1251,10,2,6,6,4,46790,7,10,3,350,2,4,1,26,19,2009
1631,10,2,6,6,4,39270,7,10,3,332,2,8,1,26,19,2009
1206,8,2,6,8,1,89950,3,57,4,429,4,1,2,18,13,617
1637,7,4,7,4,3,21945,11,21,5,184,4,6,3,34,24,586
82,8,2,1,4,4,51800,11,52,3,195,4,2,3,42,28,617
906,3,2,1,6,1,59400,11,16,3,255,4,2,2,37,26,3916
14,5,4,5,4,3,24700,5,18,3,101,2,6,1,34,28,819
840,7,4,7,4,3,19940,10,15,1,157,4,6,1,28,21,586
216,10,2,7,6,2,31640,3,137,3,261,4,6,3,20,15,2009
220,7,2,7,4,3,22245,2,6,5,155,4,7,1,37,28,586
767,8,2,6,6,1,59900,12,52,4,302,4,9,3,27,20,617
336,8,2,6,6,1,68700,3,63,5,362,4,1,2,22,17,617
158,7,4,7,4,3,23245,2,6,3,155,4,7,1,40,29,586
1731,3,2,6,4,1,42750,7,11,3,240,2,9,3,33,22,3916
9,9,2,7,4,2,22195,3,88,3,148,4,1,1,30,24,436
640,8,2,6,6,4,37480,3,62,2,302,4,1,3,25,19,617
349,8,2,6,4,1,34850,3,58,5,208,4,1,1,31,23,617
1548,2,2,6,6,1,70950,11,30,4,333,4,9,2,30,20,3105
871,8,2,6,8,1,64550,3,57,2,362,4,1,2,19,14,617
1383,8,2,6,6,4,37090,3,62,1,302,4,1,3,25,19,617
980,8,2,6,8,1,143250,11,100,4,577,4,4,2,23,15,617
178,8,2,6,12,4,214500,5,111,3,621,2,4,1,21,14,617
1377,2,2,1,6,1,59500,11,29,4,240,4,2,3,38,25,3105
1815,2,2,5,4,3,32500,3,91,3,200,4,1,1,29,20,3105
647,9,4,7,3,3,14195,2,82,2,74,4,7,1,42,34,436
1351,8,2,6,8,4,67750,5,52,3,402,2,9,3,26,17,617
846,10,2,7,4,3,13680,11,125,5,109,4,6,1,35,26,2009
374,8,2,6,8,4,62950,7,40,3,451,2,4,1,19,13,617
752,2,1,6,4,1,47000,11,101,3,292,4,4,1,31,23,3105
897,10,2,7,8,4,50780,3,38,3,317,4,6,2,19,13,2009
1828,2,2,6,6,1,69750,11,30,3,310,4,9,2,28,18,3105
466,10,2,5,4,3,22300,2,65,3,188,4,1,1,32,28,2009
698,8,2,6,4,4,52150,11,52,5,241,4,9,3,30,22,617
1493,11,2,7,6,1,46950,3,134,3,325,4,1,3,24,17,870
1772,3,1,6,8,4,111900,7,75,3,560,2,4,3,20,14,3916
1265,2,2,6,8,1,110700,11,97,5,560,4,4,2,25,15,3105
1205,10,2,7,4,3,22900,11,37,4,182,4,6,3,39,27,2009
437,8,2,6,8,2,115400,3,56,3,382,4,9,3,15,12,617
345,7,2,7,4,3,21140,10,15,2,157,4,6,1,28,22,586
1827,8,2,1,6,1,51270,3,69,1,240,4,1,3,28,20,617
397,7,2,7,4,3,19960,3,46,4,146,4,1,1,35,29,586
548,10,2,6,6,4,41820,5,10,3,332,2,8,1,25,18,2009
757,2,1,5,4,1,43150,11,25,5,220,4,9,1,35,26,3105
1404,11,4,7,5,3,27850,1,41,1,227,2,7,1,29,21,870
313,7,4,5,4,4,29450,5,77,2,167,2,10,1,28,21,586
298,8,2,6,8,1,109300,3,61,4,577,4,1,3,18,14,617
949,10,2,7,6,3,36950,3,84,3,260,4,1,3,28,21,2009
1677,5,4,5,4,3,21880,12,19,4,160,4,6,1,33,25,819
406,3,2,6,6,1,81000,11,24,3,315,4,9,2,28,19,3916
773,10,2,7,4,3,24720,11,37,3,182,4,6,3,38,27,2009
566,10,2,7,6,3,39180,3,84,4,260,4,1,3,28,21,2009
1199,3,2,6,8,4,89000,7,22,5,445,2,9,3,24,17,3916
901,8,1,6,8,4,228080,5,115,3,583,2,3,1,19,13,617
920,10,2,7,8,4,29360,9,121,2,317,4,5,2,18,13,2009
1115,8,2,6,4,4,39500,11,40,5,241,4,9,3,34,24,617
1063,8,2,6,4,1,42575,11,40,3,241,4,9,3,27,19,617
61,7,2,7,4,1,26465,3,47,4,184,4,1,3,30,24,586
592,10,2,7,6,4,24620,9,55,5,261,4,6,1,23,16,2009
1195,10,2,7,4,3,18350,11,117,3,130,4,6,3,39,30,2009
1308,2,1,6,4,1,51700,5,120,3,265,2,4,1,31,22,3105
914,8,2,6,8,4,71900,11,40,3,503,4,4,3,25,18,617
1001,2,1,6,10,1,179645,7,95,2,550,2,9,1,22,13,3105
1122,8,2,6,8,4,60650,7,52,5,402,2,9,3,26,18,617
1723,11,2,7,4,3,40550,12,135,4,240,4,1,3,31,23,870
1076,4,2,4,6,3,31465,10,122,3,283,4,5,3,25,17,1013
130,10,2,7,4,3,13990,11,125,3,109,4,6,1,40,31,2009
1248,3,2,6,8,1,131300,11,33,2,540,4,4,2,24,16,3916
862,8,2,6,8,4,154600,7,43,2,536,2,4,2,22,15,617
1160,10,2,7,6,2,32560,8,55,3,261,4,6,1,21,15,2009
80,4,2,4,6,3,37945,10,122,3,283,4,5,3,25,17,1013
83,8,2,6,4,3,32850,3,58,5,208,4,1,1,33,24,617
1235,7,2,7,4,3,24470,10,15,1,157,4,6,1,28,22,586
1073,10,2,5,6,3,34590,11,78,5,300,4,8,3,30,21,2009
886,2,1,5,4,3,51600,11,29,5,252,4,9,3,354,24,3105
646,3,2,6,8,1,75300,3,132,4,445,4,1,3,21,15,3916
491,2,1,1,4,3,41050,11,25,3,150,4,2,1,43,31,3105
64,8,2,6,8,1,89950,3,57,3,429,4,1,2,18,13,617
534,10,2,7,4,3,25240,3,98,5,170,4,1,3,33,26,2009
962,7,4,7,4,3,23145,11,6,5,184,4,10,3,34,25,586
1146,3,2,5,4,4,33450,11,7,5,180,4,9,3,35,23,3916
1589,11,2,7,4,1,49450,12,123,4,302,4,9,3,31,22,870
1634,10,2,7,6,2,38100,3,90,4,260,4,1,2,26,19,2009
1350,1,1,6,4,4,63900,5,14,3,237,2,9,1,34,24,113
1767,10,2,7,6,2,31980,3,90,5,284,4,1,2,26,19,2009
523,7,2,7,4,3,22370,10,15,3,157,4,6,1,28,21,586
1034,10,2,7,4,1,29630,3,98,3,170,4,1,3,32,25,2009
642,3,2,1,4,1,44150,12,7,4,180,4,2,3,40,30,3916
991,8,2,6,6,1,53600,3,60,4,302,4,1,3,22,17,617
923,9,2,7,4,3,24995,3,87,4,166,4,1,3,31,25,436
907,7,2,7,4,3,26495,2,6,4,184,4,7,1,37,27,586
943,2,4,3,4,1,41200,7,28,5,220,2,5,3,32,23,3105
849,2,1,5,4,1,36900,11,25,4,220,4,9,1,33,24,3105
109,2,1,6,8,1,82900,11,107,5,450,4,4,2,27,17,3105
916,2,2,5,8,1,115900,11,108,5,605,4,4,2,24,15,3105
1226,7,2,7,4,3,24770,10,15,3,157,4,6,1,28,21,586
422,2,1,5,4,1,37450,11,25,5,220,4,9,1,35,26,3105
851,3,2,1,4,1,41850,11,7,4,180,4,2,3,40,30,3916
1349,10,2,7,4,3,18790,11,117,5,124,4,6,3,37,29,2009
1062,7,2,7,4,3,18895,11,6,5,155,4,6,3,37,28,586
1599,3,4,6,6,4,56950,5,138,2,300,2,9,1,26,19,3916
184,10,2,7,6,3,30280,10,94,3,260,4,6,1,27,20,2009
654,10,2,7,4,3,17960,2,126,3,109,4,7,1,40,31,2009
748,10,2,5,4,3,22300,2,65,4,188,4,1,1,32,28,2009
1805,2,2,5,4,1,49800,11,29,5,252,4,9,3,32,22,3105
1668,8,2,6,4,1,34400,11,44,5,208,4,9,3,32,23,617
847,2,2,6,6,1,52700,3,116,3,354,4,1,3,24,17,3105
181,10,2,5,4,1,26940,2,65,4,188,4,1,1,31,26,2009
1169,8,2,6,4,1,40950,11,40,4,241,4,9,3,31,24,617
582,8,2,6,6,1,56700,7,52,4,329,2,9,3,28,20,617
1373,11,2,7,6,1,45800,12,123,4,325,4,9,3,27,18,870
1666,8,2,6,6,1,54500,3,60,5,302,4,1,3,22,18,617
515,8,2,6,8,4,151350,5,111,5,577,2,4,1,25,16,617
1003,7,2,7,4,1,24045,3,47,2,155,4,1,3,31,25,586
142,3,2,5,6,1,51050,5,4,5,335,2,4,1,32,21,3916
892,3,2,6,8,1,131300,11,33,3,540,4,4,2,24,16,3916
790,8,2,6,8,4,67000,7,40,5,469,2,4,3,23,17,617
478,10,2,7,6,3,29780,3,90,3,260,4,1,2,27,20,2009
161,8,2,6,4,4,42650,7,40,5,241,2,9,3,30,23,617
1603,10,2,7,4,3,16380,2,126,4,109,4,7,1,40,31,2009
1558,11,2,7,4,3,45750,3,134,4,302,4,1,3,29,22,870
1743,2,2,3,4,1,48600,5,28,5,220,2,5,3,21,15,3105
1669,10,2,7,6,3,32810,3,90,3,260,4,1,2,27,20,2009
428,10,2,5,4,3,25240,2,65,5,188,4,1,1,32,28,2009
884,3,2,6,6,4,84300,11,36,3,335,4,9,2,30,22,3916
1618,3,2,1,4,1,42450,3,128,4,180,4,1,3,34,27,3916
596,10,2,7,8,2,34910,8,121,3,317,4,5,2,17,12,2009
1454,4,2,4,4,3,25170,11,5,3,184,4,5,3,36,23,1013
756,3,2,6,8,1,122200,11,32,4,600,4,4,2,24,15,3916
93,7,4,7,4,3,21495,11,21,4,184,4,6,3,37,25,586
1102,3,2,6,4,4,33150,11,7,4,180,4,9,3,36,24,3916
351,7,2,7,4,3,19995,2,6,3,155,4,7,1,40,30,586
1028,5,2,5,4,3,20995,12,19,5,160,4,6,1,30,22,819
162,3,2,6,4,4,48750,5,11,3,240,2,9,3,34,23,3916
1758,7,2,7,4,3,18895,11,6,4,155,4,6,1,41,30,586
1698,8,2,6,6,1,64850,11,52,3,329,4,9,3,28,20,617
888,10,2,7,6,3,29740,3,84,5,260,4,1,3,28,21,2009
