manufacturer,transmission,fuel_type,cylinders,wheels,msrp,style,model,year,horsepower,doors,market_category,size,highwaympg,citympg,popularity
Nissan,MANUAL,premium unleaded (required),6,rear wheel drive,45490,Coupe,370Z,2016,350,2,Factory Tuner,Compact,26,18,2009
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,102100,4dr SUV,X6 M,2015,567,4,Crossover,Midsize,19,14,3916
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,117300,Sedan,ALPINA B6 Gran Coupe,2015,540,4,Factory Tuner,Large,24,16,3916
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,24190,Extended Cab Pickup,Frontier,2015,261,4,Generic,Compact,22,16,2009
Nissan,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,25240,4dr Hatchback,Juke,2016,188,4,Crossover,Compact,32,28,2009
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,23390,4dr SUV,Xterra,2014,261,4,Generic,Midsize,22,16,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,rear wheel drive,69100,Convertible,E-Class,2017,402,2,Luxury,Midsize,25,17,617
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,60800,4dr SUV,SQ5,2017,354,4,Crossover,Midsize,24,17,3105
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,all wheel drive,43500,Coupe,TT,2017,220,2,Luxury,Compact,30,23,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,rear wheel drive,65250,Sedan,C-Class,2016,469,4,Factory Tuner,Midsize,25,18,617
Audi,MANUAL,premium unleaded (required),10,all wheel drive,170545,Coupe,R8,2014,550,2,Luxury,Compact,19,12,3105
BMW,AUTOMATIC,premium unleaded (required),8,rear wheel drive,90900,Sedan,6 Series Gran Coupe,2016,445,4,Luxury,Large,25,17,3916
Audi,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,36400,4dr SUV,Q3,2015,200,4,Crossover,Compact,29,20,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,97400,Sedan,S-Class,2015,449,4,Luxury,Large,26,16,617
FIAT,MANUAL,premium unleaded (recommended),4,front wheel drive,21695,Wagon,500L,2015,160,4,Generic,Compact,33,25,819
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,all wheel drive,41650,Sedan,A3,2015,220,4,Luxury,Compact,33,24,3105
BMW,AUTOMATIC,premium unleaded (required),8,rear wheel drive,69100,4dr Hatchback,5 Series Gran Turismo,2015,445,4,Hatchback,Large,25,16,3916
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,28280,4dr SUV,Rogue,2015,170,4,Crossover,Midsize,33,26,2009
Audi,MANUAL,premium unleaded (required),8,all wheel drive,128400,Convertible,R8,2014,430,2,Luxury,Compact,20,11,3105
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,72500,4dr Hatchback,5 Series Gran Turismo,2016,445,4,Hatchback,Large,24,16,3916
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,rear wheel drive,57100,Sedan,E-Class,2015,302,4,Luxury,Midsize,29,24,617
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,78300,Sedan,6 Series Gran Coupe,2015,315,4,Luxury,Large,31,20,3916
Audi,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,48400,Sedan,A6,2016,252,4,Luxury,Midsize,32,22,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,all wheel drive,41050,Sedan,C-Class,2015,241,4,Luxury,Midsize,31,24,617
Mazda,AUTOMATIC,regular unleaded,4,all wheel drive,26465,4dr SUV,CX-5,2016,184,4,Crossover,Midsize,30,24,586
Volvo,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,51350,4dr SUV,XC90,2016,250,4,Crossover,Large,25,22,870
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,76100,Coupe,6 Series,2015,315,2,Luxury,Midsize,32,21,3916
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,89950,4dr SUV,GL-Class,2015,429,4,Crossover,Large,18,13,617
Audi,AUTOMATED_MANUAL,premium unleaded (required),8,all wheel drive,79900,Sedan,S7,2017,450,4,Factory Tuner,Large,27,17,3105
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,15580,Sedan,Versa,2016,109,4,Generic,Compact,40,31,2009
Mitsubishi,MANUAL,regular unleaded,3,front wheel drive,14795,4dr Hatchback,Mirage,2017,78,4,Hatchback,Compact,41,33,436
Audi,AUTOMATED_MANUAL,premium unleaded (required),6,all wheel drive,60350,Coupe,S5,2016,333,2,Factory Tuner,Midsize,28,18,3105
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,25495,4dr Hatchback,3,2016,184,4,Hatchback,Compact,37,27,586
Mercedes-Benz,AUTOMATIC,diesel,4,all wheel drive,54300,Sedan,E-Class,2015,195,4,Diesel,Midsize,38,27,617
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,33750,Passenger Minivan,Quest,2014,260,4,Generic,Compact,25,19,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,rear wheel drive,41125,Sedan,C-Class,2016,241,4,Luxury,Midsize,34,25,617
Ferrari,AUTOMATED_MANUAL,premium unleaded (required),12,all wheel drive,295000,Coupe,FF,2015,651,2,Exotic,Large,16,11,2774
Mazda,MANUAL,regular unleaded,4,front wheel drive,23845,Sedan,3,2015,184,4,Performance,Compact,37,25,586
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,39480,4dr SUV,GLK-Class,2014,302,4,Crossover,Midsize,24,19,617
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,57800,4dr SUV,X5,2017,300,4,Crossover,Midsize,24,18,3916
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,26900,4dr SUV,Xterra,2013,261,4,Generic,Midsize,20,15,2009
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,88100,Convertible,6 Series,2017,315,2,Luxury,Midsize,28,19,3916
Mazda,AUTOMATIC,regular unleaded,4,all wheel drive,26515,4dr SUV,CX-5,2016,184,4,Crossover,Midsize,30,24,586
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),6,front wheel drive,37945,Passenger Minivan,Town and Country,2015,283,4,Flex Fuel,Midsize,25,17,1013
BMW,AUTOMATIC,premium unleaded (recommended),6,rear wheel drive,47900,Sedan,3 Series,2017,320,4,Luxury,Midsize,32,21,3916
Mercedes-Benz,AUTOMATIC,diesel,4,rear wheel drive,51800,Sedan,E-Class,2015,195,4,Diesel,Midsize,42,28,617
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,front wheel drive,32850,4dr SUV,GLA-Class,2017,208,4,Crossover,Compact,33,24,617
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,119900,Coupe,S-Class,2015,449,2,Luxury,Large,24,16,617
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,27820,4dr SUV,CX-5,2014,184,4,Crossover,Midsize,32,25,586
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),6,all wheel drive,29370,Sedan,200,2015,295,4,Flex Fuel,Midsize,29,18,1013
Mitsubishi,AUTOMATIC,regular unleaded,4,all wheel drive,24995,4dr SUV,Outlander,2017,166,4,Crossover,Midsize,29,24,436
Nissan,MANUAL,premium unleaded (required),6,rear wheel drive,33570,Coupe,370Z,2017,332,2,High-Performance,Compact,26,18,2009
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),4,front wheel drive,21995,Sedan,200,2017,184,4,Flex Fuel,Midsize,36,23,1013
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,53900,4dr SUV,X5,2015,300,4,Crossover,Midsize,27,19,3916
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,40700,Crew Cab Pickup,Titan,2017,390,4,Generic,Large,21,15,2009
Audi,AUTOMATIC,diesel,6,all wheel drive,62500,Sedan,A6,2015,240,4,Diesel,Midsize,38,24,3105
Mazda,MANUAL,regular unleaded,4,front wheel drive,21495,Sedan,6,2016,184,4,Generic,Midsize,37,25,586
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,59000,Wagon,E-Class,2015,302,4,Luxury,Midsize,27,20,617
Audi,AUTOMATIC,premium unleaded (required),4,front wheel drive,35900,Sedan,A4,2016,220,4,Luxury,Midsize,31,22,3105
Mercedes-Benz,AUTOMATIC,diesel,6,all wheel drive,63600,4dr SUV,GL-Class,2015,240,4,Crossover,Large,26,19,617
Nissan,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,22550,4dr Hatchback,Juke,2017,188,4,Crossover,Compact,32,28,2009
Audi,AUTOMATIC,diesel,6,all wheel drive,63700,Sedan,A6,2016,240,4,Diesel,Midsize,38,25,3105
Audi,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,38600,4dr SUV,Q3,2016,200,4,Crossover,Compact,29,20,3105
BMW,AUTOMATIC,diesel,6,all wheel drive,82500,Sedan,7 Series,2015,255,4,Diesel,Large,31,23,3916
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,19960,4dr SUV,CX-3,2017,146,4,Crossover,Compact,34,29,586
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),6,front wheel drive,31875,Passenger Minivan,Town and Country,2016,283,4,Flex Fuel,Midsize,25,17,1013
Mitsubishi,MANUAL,regular unleaded,3,front wheel drive,12995,4dr Hatchback,Mirage,2014,74,4,Hatchback,Compact,42,34,436
Nissan,AUTOMATIC,premium unleaded (recommended),6,front wheel drive,32610,Sedan,Maxima,2017,300,4,High-Performance,Midsize,30,21,2009
Mazda,AUTOMATIC,regular unleaded,4,all wheel drive,44015,4dr SUV,CX-9,2016,227,4,Crossover,Large,27,21,586
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,25215,4dr SUV,CX-5,2016,184,4,Crossover,Midsize,33,26,586
Nissan,AUTOMATIC,regular unleaded,8,rear wheel drive,43600,4dr SUV,Armada,2015,317,4,Generic,Large,19,13,2009
Mitsubishi,MANUAL,premium unleaded (required),4,all wheel drive,34695,Sedan,Lancer Evolution,2013,291,4,Factory Tuner,Compact,23,17,436
Audi,AUTOMATED_MANUAL,premium unleaded (required),8,all wheel drive,82900,Sedan,S7,2017,450,4,Factory Tuner,Large,27,17,3105
Audi,MANUAL,premium unleaded (required),6,all wheel drive,49200,Sedan,S4,2016,333,4,Factory Tuner,Midsize,26,17,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,rear wheel drive,72600,Convertible,SLK-Class,2016,416,2,Factory Tuner,Compact,28,19,617
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,76100,4dr SUV,X6,2017,445,4,Crossover,Midsize,21,15,3916
Volvo,AUTOMATIC,regular unleaded,6,all wheel drive,42050,Wagon,XC70,2015,300,4,Crossover,Midsize,24,17,870
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,rear wheel drive,61350,Convertible,E-Class,2015,329,2,Luxury,Midsize,29,20,617
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,26095,Sedan,3,2015,184,4,Performance,Compact,39,28,586
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,front wheel drive,40100,Convertible,A3,2016,170,2,Luxury,Compact,35,24,3105
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,17980,4dr Hatchback,Versa Note,2016,109,4,Hatchback,Compact,40,31,2009
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,24780,4dr SUV,Rogue,2016,170,4,Crossover,Midsize,33,26,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,all wheel drive,40400,Sedan,C-Class,2015,241,4,Luxury,Midsize,31,24,617
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,rear wheel drive,50900,Convertible,C-Class,2017,241,2,Luxury,Midsize,31,23,617
Alfa Romeo,AUTOMATED_MANUAL,premium unleaded (required),4,rear wheel drive,68400,Coupe,4C,2015,237,2,Luxury,Compact,34,24,113
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,front wheel drive,38350,Sedan,A3,2015,170,4,Luxury,Compact,33,23,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,rear wheel drive,39400,Coupe,C-Class,2015,201,2,Luxury,Compact,31,22,617
Nissan,AUTOMATIC,premium unleaded (required),6,rear wheel drive,46570,Convertible,370Z,2017,332,2,High-Performance,Compact,25,18,2009
Mazda,AUTOMATIC,premium unleaded (recommended),4,rear wheel drive,29330,Convertible,MX-5 Miata,2016,155,2,Performance,Compact,36,27,586
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,43230,Passenger Minivan,Quest,2016,260,4,Generic,Compact,27,20,2009
Mazda,AUTOMATIC,regular unleaded,4,all wheel drive,29870,4dr SUV,CX-5,2016,184,4,Crossover,Midsize,30,24,586
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,41150,4dr SUV,XC60,2015,302,4,Crossover,Midsize,30,22,870
Mitsubishi,AUTOMATIC,regular unleaded,4,front wheel drive,23595,4dr SUV,Outlander Sport,2015,168,4,Crossover,Compact,28,23,436
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,13990,Sedan,Versa,2015,109,4,Generic,Compact,40,31,2009
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,45800,Sedan,4 Series Gran Coupe,2015,300,4,Luxury,Midsize,32,21,3916
Chrysler,AUTOMATIC,regular unleaded,6,rear wheel drive,35255,Sedan,300,2016,292,4,Generic,Large,31,19,1013
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),6,all wheel drive,29905,Sedan,200,2017,295,4,Flex Fuel,Midsize,28,18,1013
Nissan,AUTOMATIC,regular unleaded,4,all wheel drive,21500,4dr SUV,Rogue Select,2015,170,4,Crossover,Midsize,27,22,2009
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,26640,Extended Cab Pickup,Frontier,2016,261,4,Generic,Compact,21,15,2009
Mitsubishi,AUTOMATIC,regular unleaded,4,front wheel drive,23495,Sedan,Lancer,2016,168,4,Generic,Compact,31,24,436
Mazda,MANUAL,regular unleaded,4,front wheel drive,21190,Sedan,6,2015,184,4,Generic,Midsize,37,25,586
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,23940,Extended Cab Pickup,Frontier,2016,261,4,Generic,Compact,22,16,2009
Mitsubishi,AUTOMATIC,regular unleaded,4,four wheel drive,22495,4dr SUV,Outlander Sport,2017,148,4,Crossover,Compact,29,23,436
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,front wheel drive,31200,Sedan,A3,2017,186,4,Luxury,Compact,35,26,3105
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,47250,4dr Hatchback,3 Series Gran Turismo,2015,300,4,Hatchback,Midsize,30,20,3916
BMW,AUTOMATIC,premium unleaded (recommended),6,all wheel drive,51050,Convertible,2 Series,2017,335,2,Factory Tuner,Compact,32,21,3916
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,56300,Sedan,A6,2015,310,4,Luxury,Midsize,27,18,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,65200,4dr SUV,GL-Class,2016,362,4,Crossover,Large,21,17,617
BMW,MANUAL,premium unleaded (required),6,rear wheel drive,64000,Sedan,M3,2017,425,4,Factory Tuner,Midsize,26,17,3916
BMW,AUTOMATIC,diesel,4,rear wheel drive,40250,Sedan,3 Series,2017,180,4,Diesel,Midsize,42,32,3916
Mercedes-Benz,AUTOMATED_MANUAL,premium unleaded (required),4,all wheel drive,49500,Sedan,CLA-Class,2016,375,4,Factory Tuner,Midsize,31,23,617
Volvo,AUTOMATIC,regular unleaded,5,all wheel drive,38300,Sedan,S60,2016,250,4,Luxury,Midsize,29,20,870
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,60900,4dr SUV,Q7,2014,333,4,Crossover,Large,22,16,3105
Volvo,AUTOMATIC,regular unleaded,4,all wheel drive,46350,4dr SUV,XC60,2017,302,4,Crossover,Midsize,29,20,870
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,17900,Wagon,Cube,2014,122,4,Generic,Compact,31,27,2009
Nissan,AUTOMATED_MANUAL,premium unleaded (recommended),6,all wheel drive,101770,Coupe,GT-R,2015,545,2,High-Performance,Midsize,23,16,2009
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,71350,Sedan,A7,2017,333,4,Luxury,Large,29,21,3105
Audi,MANUAL,premium unleaded (required),5,all wheel drive,57200,Coupe,TT RS,2013,360,2,Factory Tuner,Compact,25,18,3105
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,18660,4dr Hatchback,Versa Note,2015,109,4,Hatchback,Compact,40,31,2009
Nissan,MANUAL,regular unleaded,4,rear wheel drive,18290,Extended Cab Pickup,Frontier,2016,152,4,Generic,Compact,23,19,2009
BMW,AUTOMATIC,premium unleaded (recommended),4,rear wheel drive,50300,Convertible,4 Series,2017,248,2,Luxury,Midsize,34,23,3916
Mazda,MANUAL,regular unleaded,4,front wheel drive,23245,4dr Hatchback,3,2015,155,4,Hatchback,Compact,40,29,586
Audi,MANUAL,premium unleaded (required),10,all wheel drive,151200,Coupe,R8,2014,525,2,Luxury,Compact,19,12,3105
Audi,AUTOMATED_MANUAL,premium unleaded (required),8,all wheel drive,82900,Sedan,S7,2016,450,4,Factory Tuner,Large,27,17,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,rear wheel drive,42650,Coupe,C-Class,2017,241,2,Luxury,Midsize,30,23,617
BMW,AUTOMATIC,premium unleaded (required),4,rear wheel drive,48750,Convertible,4 Series,2015,240,2,Luxury,Midsize,34,23,3916
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,16330,4dr Hatchback,Versa Note,2015,109,4,Hatchback,Compact,40,31,2009
Nissan,MANUAL,premium unleaded (required),6,rear wheel drive,45270,Convertible,370Z,2016,332,2,High-Performance,Compact,24,17,2009
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,19960,Sedan,Sentra,2015,130,4,Generic,Midsize,39,30,2009
Volvo,AUTOMATIC,regular unleaded,6,all wheel drive,45400,Wagon,V60,2015,325,4,Luxury,Midsize,28,19,870
Mazda,MANUAL,regular unleaded,4,front wheel drive,16210,4dr Hatchback,2,2013,100,4,Hatchback,Compact,35,29,586
Mercedes-Benz,AUTOMATED_MANUAL,premium unleaded (required),8,rear wheel drive,199500,Coupe,SLS AMG GT,2013,583,2,Exotic,Compact,19,13,617
BMW,AUTOMATED_MANUAL,premium unleaded (required),6,rear wheel drive,65800,Convertible,Z4,2015,335,2,Luxury,Compact,24,17,3916
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,22795,4dr SUV,CX-5,2014,155,4,Crossover,Midsize,32,26,586
Nissan,MANUAL,premium unleaded (required),6,rear wheel drive,41990,Coupe,370Z,2016,350,2,Factory Tuner,Compact,26,18,2009
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,81300,Sedan,6 Series Gran Coupe,2015,315,4,Luxury,Large,29,20,3916
Chrysler,AUTOMATIC,regular unleaded,6,rear wheel drive,35070,Sedan,300,2015,300,4,Performance,Large,31,19,1013
Volvo,AUTOMATIC,regular unleaded,5,all wheel drive,40400,Sedan,S60,2016,250,4,Luxury,Midsize,29,20,870
Audi,MANUAL,premium unleaded (required),6,all wheel drive,53100,Coupe,S5,2017,333,2,Factory Tuner,Midsize,26,17,3105
Mazda,MANUAL,regular unleaded,4,front wheel drive,22545,Sedan,3,2016,155,4,Generic,Compact,41,29,586
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,65650,4dr SUV,GLE-Class,2017,329,4,Crossover,Midsize,23,18,617
Mercedes-Benz,AUTOMATIC,premium unleaded (required),12,rear wheel drive,214500,Convertible,SL-Class,2015,621,2,Factory Tuner,Compact,21,14,617
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,17530,4dr Hatchback,Versa Note,2015,109,4,Hatchback,Compact,40,31,2009
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,59600,4dr SUV,X6,2015,300,4,Crossover,Midsize,27,19,3916
Nissan,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,26940,4dr Hatchback,Juke,2016,188,4,Crossover,Compact,31,26,2009
Volvo,AUTOMATIC,regular unleaded,6,all wheel drive,40350,4dr SUV,XC60,2015,240,4,Crossover,Midsize,25,18,870
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,31370,4dr SUV,Xterra,2014,261,4,Generic,Midsize,20,15,2009
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,30280,Passenger Minivan,Quest,2015,260,4,Generic,Compact,27,20,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,rear wheel drive,39275,Sedan,C-Class,2016,241,4,Luxury,Midsize,34,25,617
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,53700,4dr SUV,Q7,2014,280,4,Crossover,Large,22,16,3105
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,56200,4dr SUV,X5,2015,300,4,Crossover,Midsize,27,18,3916
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,40250,4dr SUV,XC60,2015,240,4,Crossover,Midsize,31,24,870
Mitsubishi,MANUAL,regular unleaded,4,front wheel drive,19595,4dr SUV,Outlander Sport,2015,148,4,Crossover,Compact,30,24,436
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,17280,Sedan,Versa,2017,109,4,Generic,Compact,39,31,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,49770,4dr SUV,M-Class,2013,302,4,Crossover,Midsize,23,18,617
Mazda,AUTOMATIC,premium unleaded (recommended),4,rear wheel drive,30550,Convertible,MX-5 Miata,2014,158,2,Performance,Compact,28,21,586
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,19990,Sedan,Sentra,2017,124,4,Generic,Midsize,37,29,2009
BMW,AUTOMATIC,diesel,4,all wheel drive,44450,Wagon,3 Series,2017,180,4,Diesel,Midsize,40,30,3916
Chrysler,AUTOMATIC,regular unleaded,6,front wheel drive,37895,Passenger Minivan,Pacifica,2017,287,4,Generic,Midsize,28,18,1013
Mercedes-Benz,AUTOMATIC,diesel,6,all wheel drive,63000,4dr SUV,GL-Class,2014,240,4,Crossover,Large,26,19,617
Mazda,MANUAL,regular unleaded,4,front wheel drive,18445,Sedan,3,2015,155,4,Generic,Compact,41,29,586
